Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for bsd-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 16:22:20 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(784932k free)

/proc/meminfo:

CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:InitialHeapSize=268435456 -XX:+ManagementServer -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
1.111: [GC (Allocation Failure) [PSYoungGen: 65536K->6991K(76288K)] 65536K->7007K(251392K), 0.0082444 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
1.323: [GC (Allocation Failure) [PSYoungGen: 72527K->8447K(76288K)] 72543K->8471K(251392K), 0.0090487 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
1.480: [GC (Metadata GC Threshold) [PSYoungGen: 51075K->8573K(76288K)] 51099K->8605K(251392K), 0.0061946 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
1.486: [Full GC (Metadata GC Threshold) [PSYoungGen: 8573K->0K(76288K)] [ParOldGen: 32K->8167K(98816K)] 8605K->8167K(175104K), [Metaspace: 20536K->20534K(1067008K)], 0.0261097 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
1.997: [GC (Allocation Failure) [PSYoungGen: 65536K->5121K(109568K)] 73703K->13361K(208384K), 0.0048761 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2.598: [GC (Allocation Failure) [PSYoungGen: 109057K->9308K(136704K)] 117297K->17556K(235520K), 0.0079369 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
3.351: [GC (Allocation Failure) [PSYoungGen: 135260K->10725K(168960K)] 143508K->21744K(267776K), 0.0144222 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
3.557: [GC (Metadata GC Threshold) [PSYoungGen: 55669K->11047K(172032K)] 66687K->22073K(270848K), 0.0087740 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
3.566: [Full GC (Metadata GC Threshold) [PSYoungGen: 11047K->0K(172032K)] [ParOldGen: 11026K->16175K(145920K)] 22073K->16175K(317952K), [Metaspace: 33757K->33757K(1079296K)], 0.0387217 secs] [Times: user=0.18 sys=0.00, real=0.04 secs] 
4.488: [GC (Allocation Failure) [PSYoungGen: 158208K->6982K(259072K)] 174383K->23165K(404992K), 0.0171883 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
5.828: [GC (Allocation Failure) [PSYoungGen: 255814K->14332K(263168K)] 271997K->35017K(409088K), 0.0180137 secs] [Times: user=0.06 sys=0.02, real=0.01 secs] 
17.434: [GC (Allocation Failure) [PSYoungGen: 263164K->17402K(338432K)] 283849K->54131K(484352K), 0.0327521 secs] [Times: user=0.13 sys=0.06, real=0.03 secs] 
21.776: [GC (Allocation Failure) [PSYoungGen: 338426K->11153K(346624K)] 375155K->64422K(492544K), 0.0153895 secs] [Times: user=0.07 sys=0.02, real=0.02 secs] 
26.064: [GC (Allocation Failure) [PSYoungGen: 332177K->11313K(403968K)] 385446K->64590K(549888K), 0.0084115 secs] [Times: user=0.04 sys=0.02, real=0.01 secs] 
84.967: [GC (Allocation Failure) [PSYoungGen: 403505K->11488K(416256K)] 456782K->64774K(562176K), 0.0094926 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
85.845: [GC (Allocation Failure) [PSYoungGen: 404192K->11601K(487424K)] 457478K->64894K(633344K), 0.0080240 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
86.824: [GC (Allocation Failure) [PSYoungGen: 477009K->11718K(486912K)] 530302K->65020K(632832K), 0.0074194 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
87.907: [GC (Allocation Failure) [PSYoungGen: 477126K->11633K(568832K)] 530428K->64934K(714752K), 0.0087928 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
89.475: [GC (Allocation Failure) [PSYoungGen: 561521K->11616K(569856K)] 614822K->64918K(715776K), 0.0075934 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
90.630: [GC (Allocation Failure) [PSYoungGen: 561504K->11601K(627200K)] 614806K->64902K(773120K), 0.0075370 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
91.809: [GC (Allocation Failure) [PSYoungGen: 621905K->11721K(628736K)] 675206K->65022K(774656K), 0.0081790 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
93.175: [GC (Allocation Failure) [PSYoungGen: 622025K->11713K(596992K)] 675326K->65014K(742912K), 0.0077854 secs] [Times: user=0.03 sys=0.02, real=0.01 secs] 
94.523: [GC (Allocation Failure) [PSYoungGen: 596898K->11872K(573952K)] 650199K->65174K(719872K), 0.0079069 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
95.644: [GC (Allocation Failure) [PSYoungGen: 573536K->11233K(550400K)] 626838K->65038K(696320K), 0.0082865 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
96.690: [GC (Allocation Failure) [PSYoungGen: 550369K->1976K(519680K)] 604174K->64489K(665600K), 0.0074891 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
97.844: [GC (Allocation Failure) [PSYoungGen: 519608K->1984K(499200K)] 582121K->64497K(645120K), 0.0046771 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
98.892: [GC (Allocation Failure) [PSYoungGen: 499136K->1952K(479744K)] 561649K->64465K(625664K), 0.0041693 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
99.768: [GC (Allocation Failure) [PSYoungGen: 479648K->2144K(461824K)] 542161K->64657K(607744K), 0.0043640 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
100.564: [GC (Allocation Failure) [PSYoungGen: 461408K->1971K(443392K)] 523921K->64484K(589312K), 0.0040953 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
101.494: [GC (Allocation Failure) [PSYoungGen: 443315K->2019K(426496K)] 505828K->64717K(572416K), 0.0064687 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
102.423: [GC (Allocation Failure) [PSYoungGen: 426467K->2053K(411136K)] 489165K->64819K(557056K), 0.0040485 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
103.162: [GC (Allocation Failure) [PSYoungGen: 410629K->1923K(395264K)] 473395K->64753K(541184K), 0.0042318 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
103.952: [GC (Allocation Failure) [PSYoungGen: 395139K->2121K(381440K)] 457969K->65014K(527360K), 0.0040354 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
104.596: [GC (Allocation Failure) [PSYoungGen: 381001K->2019K(367104K)] 443894K->64993K(513024K), 0.0047041 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
105.448: [GC (Allocation Failure) [PSYoungGen: 367075K->1776K(353792K)] 430049K->64774K(499712K), 0.0072578 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
106.371: [GC (Allocation Failure) [PSYoungGen: 353520K->1816K(340992K)] 416518K->64853K(486912K), 0.0118403 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
107.102: [GC (Allocation Failure) [PSYoungGen: 340760K->1872K(328704K)] 403797K->64966K(474624K), 0.0042521 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
107.727: [GC (Allocation Failure) [PSYoungGen: 328528K->1875K(317440K)] 391622K->65032K(463360K), 0.0045586 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
108.412: [GC (Allocation Failure) [PSYoungGen: 317267K->1600K(306688K)] 380424K->64878K(452608K), 0.0039897 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
108.960: [GC (Allocation Failure) [PSYoungGen: 306240K->1789K(296448K)] 369518K->65124K(442368K), 0.0044508 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
109.483: [GC (Allocation Failure) [PSYoungGen: 296189K->1829K(286208K)] 359524K->65212K(432128K), 0.0041952 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
110.076: [GC (Allocation Failure) [PSYoungGen: 285989K->1600K(276480K)] 349372K->65030K(422400K), 0.0044220 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
110.643: [GC (Allocation Failure) [PSYoungGen: 276032K->1683K(267264K)] 339462K->65121K(413184K), 0.0042102 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
111.192: [GC (Allocation Failure) [PSYoungGen: 266899K->1696K(258560K)] 330337K->65150K(404480K), 0.0042471 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
111.682: [GC (Allocation Failure) [PSYoungGen: 258208K->1827K(274944K)] 321662K->65290K(420864K), 0.0042504 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
112.272: [GC (Allocation Failure) [PSYoungGen: 274723K->1808K(292352K)] 338186K->65311K(438272K), 0.0042823 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
112.799: [GC (Allocation Failure) [PSYoungGen: 292112K->1664K(310784K)] 355615K->65206K(456704K), 0.0041160 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
113.302: [GC (Allocation Failure) [PSYoungGen: 310400K->1961K(330752K)] 373942K->65544K(476672K), 0.0094175 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
113.918: [GC (Allocation Failure) [PSYoungGen: 330665K->1795K(351744K)] 394248K->65418K(497664K), 0.0043438 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
114.636: [GC (Allocation Failure) [PSYoungGen: 351491K->1715K(339456K)] 415114K->65393K(485376K), 0.0049860 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
